cliente_id;cliente_code;tipo_cliente;sexo;cod_postal;ciudad;estado;estudios;ocupacion;ingresos;tiene_hijos
1;29484;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
2;29485;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
3;29486;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
4;29487;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
5;29488;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
6;29489;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
7;29490;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
8;29491;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
9;29492;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
10;29493;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
11;29494;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
12;29495;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
13;29496;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
14;29497;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
15;29498;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
16;29499;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
17;29500;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
18;29501;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
19;29502;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
20;29503;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
21;29504;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
22;29505;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
23;29506;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
24;29507;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
25;29508;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
26;29509;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
27;29510;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
28;29511;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
29;29512;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
30;29513;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
31;29514;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
32;29515;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
33;29516;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
34;29517;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
35;29518;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
36;29519;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
37;29520;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
38;29521;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
39;29522;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
40;29523;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
41;29524;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
42;29525;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
43;29526;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
44;29527;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
45;29528;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
46;29529;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
47;29530;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
48;29531;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
49;29532;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
50;29533;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
51;29534;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
52;29535;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
53;29536;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
54;29537;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
55;29538;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
56;29539;Comercio;Otro;No aplica;No aplica;No aplica;No aplica;No aplica;No aplica;No
