fecha_id;fecha;anio;trimestre;nombre_trimestre;mes;nombre_mes;semana;dia_de_la_semana_num;nombre_del_dia;dia_del_mes;dia_del_anio;aniotrimestre;aniomes;aniosemana;es_fin_de_semana;dias_totales_del_mes
20000101;2000-01-01;2000;1;Q1;1;January;52;7;Sunday;1;1;200001;200001;200052;t;31
20000102;2000-01-02;2000;1;Q1;1;January;52;1;Monday;2;2;200001;200001;200052;f;31
20000103;2000-01-03;2000;1;Q1;1;January;1;2;Tuesday;3;3;200001;200001;200001;f;31
20000104;2000-01-04;2000;1;Q1;1;January;1;3;Wednesday;4;4;200001;200001;200001;f;31
20000105;2000-01-05;2000;1;Q1;1;January;1;4;Thursday;5;5;200001;200001;200001;f;31
20000106;2000-01-06;2000;1;Q1;1;January;1;5;Friday;6;6;200001;200001;200001;f;31
20000107;2000-01-07;2000;1;Q1;1;January;1;6;Saturday;7;7;200001;200001;200001;t;31
20000108;2000-01-08;2000;1;Q1;1;January;1;7;Sunday;8;8;200001;200001;200001;t;31
20000109;2000-01-09;2000;1;Q1;1;January;1;1;Monday;9;9;200001;200001;200001;f;31
20000110;2000-01-10;2000;1;Q1;1;January;2;2;Tuesday;10;10;200001;200001;200002;f;31
20000111;2000-01-11;2000;1;Q1;1;January;2;3;Wednesday;11;11;200001;200001;200002;f;31
20000112;2000-01-12;2000;1;Q1;1;January;2;4;Thursday;12;12;200001;200001;200002;f;31
20000113;2000-01-13;2000;1;Q1;1;January;2;5;Friday;13;13;200001;200001;200002;f;31
20000114;2000-01-14;2000;1;Q1;1;January;2;6;Saturday;14;14;200001;200001;200002;t;31
20000115;2000-01-15;2000;1;Q1;1;January;2;7;Sunday;15;15;200001;200001;200002;t;31
20000116;2000-01-16;2000;1;Q1;1;January;2;1;Monday;16;16;200001;200001;200002;f;31
20000117;2000-01-17;2000;1;Q1;1;January;3;2;Tuesday;17;17;200001;200001;200003;f;31
20000118;2000-01-18;2000;1;Q1;1;January;3;3;Wednesday;18;18;200001;200001;200003;f;31
20000119;2000-01-19;2000;1;Q1;1;January;3;4;Thursday;19;19;200001;200001;200003;f;31
20000120;2000-01-20;2000;1;Q1;1;January;3;5;Friday;20;20;200001;200001;200003;f;31
20000121;2000-01-21;2000;1;Q1;1;January;3;6;Saturday;21;21;200001;200001;200003;t;31
20000122;2000-01-22;2000;1;Q1;1;January;3;7;Sunday;22;22;200001;200001;200003;t;31
20000123;2000-01-23;2000;1;Q1;1;January;3;1;Monday;23;23;200001;200001;200003;f;31
20000124;2000-01-24;2000;1;Q1;1;January;4;2;Tuesday;24;24;200001;200001;200004;f;31
20000125;2000-01-25;2000;1;Q1;1;January;4;3;Wednesday;25;25;200001;200001;200004;f;31
20000126;2000-01-26;2000;1;Q1;1;January;4;4;Thursday;26;26;200001;200001;200004;f;31
20000127;2000-01-27;2000;1;Q1;1;January;4;5;Friday;27;27;200001;200001;200004;f;31
20000128;2000-01-28;2000;1;Q1;1;January;4;6;Saturday;28;28;200001;200001;200004;t;31
20000129;2000-01-29;2000;1;Q1;1;January;4;7;Sunday;29;29;200001;200001;200004;t;31
20000130;2000-01-30;2000;1;Q1;1;January;4;1;Monday;30;30;200001;200001;200004;f;31
20000131;2000-01-31;2000;1;Q1;1;January;5;2;Tuesday;31;31;200001;200001;200005;f;31
20000201;2000-02-01;2000;1;Q1;2;February;5;3;Wednesday;1;32;200001;200002;200005;f;29
20000202;2000-02-02;2000;1;Q1;2;February;5;4;Thursday;2;33;200001;200002;200005;f;29
20000203;2000-02-03;2000;1;Q1;2;February;5;5;Friday;3;34;200001;200002;200005;f;29
20000204;2000-02-04;2000;1;Q1;2;February;5;6;Saturday;4;35;200001;200002;200005;t;29
20000205;2000-02-05;2000;1;Q1;2;February;5;7;Sunday;5;36;200001;200002;200005;t;29
20000206;2000-02-06;2000;1;Q1;2;February;5;1;Monday;6;37;200001;200002;200005;f;29
20000207;2000-02-07;2000;1;Q1;2;February;6;2;Tuesday;7;38;200001;200002;200006;f;29
20000208;2000-02-08;2000;1;Q1;2;February;6;3;Wednesday;8;39;200001;200002;200006;f;29
20000209;2000-02-09;2000;1;Q1;2;February;6;4;Thursday;9;40;200001;200002;200006;f;29
20000210;2000-02-10;2000;1;Q1;2;February;6;5;Friday;10;41;200001;200002;200006;f;29
20000211;2000-02-11;2000;1;Q1;2;February;6;6;Saturday;11;42;200001;200002;200006;t;29
20000212;2000-02-12;2000;1;Q1;2;February;6;7;Sunday;12;43;200001;200002;200006;t;29
20000213;2000-02-13;2000;1;Q1;2;February;6;1;Monday;13;44;200001;200002;200006;f;29
20000214;2000-02-14;2000;1;Q1;2;February;7;2;Tuesday;14;45;200001;200002;200007;f;29
20000215;2000-02-15;2000;1;Q1;2;February;7;3;Wednesday;15;46;200001;200002;200007;f;29
20000216;2000-02-16;2000;1;Q1;2;February;7;4;Thursday;16;47;200001;200002;200007;f;29
20000217;2000-02-17;2000;1;Q1;2;February;7;5;Friday;17;48;200001;200002;200007;f;29
20000218;2000-02-18;2000;1;Q1;2;February;7;6;Saturday;18;49;200001;200002;200007;t;29
20000219;2000-02-19;2000;1;Q1;2;February;7;7;Sunday;19;50;200001;200002;200007;t;29
20000220;2000-02-20;2000;1;Q1;2;February;7;1;Monday;20;51;200001;200002;200007;f;29
20000221;2000-02-21;2000;1;Q1;2;February;8;2;Tuesday;21;52;200001;200002;200008;f;29
20000222;2000-02-22;2000;1;Q1;2;February;8;3;Wednesday;22;53;200001;200002;200008;f;29
20000223;2000-02-23;2000;1;Q1;2;February;8;4;Thursday;23;54;200001;200002;200008;f;29
20000224;2000-02-24;2000;1;Q1;2;February;8;5;Friday;24;55;200001;200002;200008;f;29
20000225;2000-02-25;2000;1;Q1;2;February;8;6;Saturday;25;56;200001;200002;200008;t;29
20000226;2000-02-26;2000;1;Q1;2;February;8;7;Sunday;26;57;200001;200002;200008;t;29
20000227;2000-02-27;2000;1;Q1;2;February;8;1;Monday;27;58;200001;200002;200008;f;29
20000228;2000-02-28;2000;1;Q1;2;February;9;2;Tuesday;28;59;200001;200002;200009;f;29
20000229;2000-02-29;2000;1;Q1;2;February;9;3;Wednesday;29;60;200001;200002;200009;f;29
20000301;2000-03-01;2000;1;Q1;3;March;9;4;Thursday;1;61;200001;200003;200009;f;31
20000302;2000-03-02;2000;1;Q1;3;March;9;5;Friday;2;62;200001;200003;200009;f;31
20000303;2000-03-03;2000;1;Q1;3;March;9;6;Saturday;3;63;200001;200003;200009;t;31
20000304;2000-03-04;2000;1;Q1;3;March;9;7;Sunday;4;64;200001;200003;200009;t;31
20000305;2000-03-05;2000;1;Q1;3;March;9;1;Monday;5;65;200001;200003;200009;f;31
20000306;2000-03-06;2000;1;Q1;3;March;10;2;Tuesday;6;66;200001;200003;200010;f;31
20000307;2000-03-07;2000;1;Q1;3;March;10;3;Wednesday;7;67;200001;200003;200010;f;31
20000308;2000-03-08;2000;1;Q1;3;March;10;4;Thursday;8;68;200001;200003;200010;f;31
20000309;2000-03-09;2000;1;Q1;3;March;10;5;Friday;9;69;200001;200003;200010;f;31
20000310;2000-03-10;2000;1;Q1;3;March;10;6;Saturday;10;70;200001;200003;200010;t;31
20000311;2000-03-11;2000;1;Q1;3;March;10;7;Sunday;11;71;200001;200003;200010;t;31
20000312;2000-03-12;2000;1;Q1;3;March;10;1;Monday;12;72;200001;200003;200010;f;31
20000313;2000-03-13;2000;1;Q1;3;March;11;2;Tuesday;13;73;200001;200003;200011;f;31
20000314;2000-03-14;2000;1;Q1;3;March;11;3;Wednesday;14;74;200001;200003;200011;f;31
20000315;2000-03-15;2000;1;Q1;3;March;11;4;Thursday;15;75;200001;200003;200011;f;31
20000316;2000-03-16;2000;1;Q1;3;March;11;5;Friday;16;76;200001;200003;200011;f;31
20000317;2000-03-17;2000;1;Q1;3;March;11;6;Saturday;17;77;200001;200003;200011;t;31
20000318;2000-03-18;2000;1;Q1;3;March;11;7;Sunday;18;78;200001;200003;200011;t;31
20000319;2000-03-19;2000;1;Q1;3;March;11;1;Monday;19;79;200001;200003;200011;f;31
20000320;2000-03-20;2000;1;Q1;3;March;12;2;Tuesday;20;80;200001;200003;200012;f;31
20000321;2000-03-21;2000;1;Q1;3;March;12;3;Wednesday;21;81;200001;200003;200012;f;31
20000322;2000-03-22;2000;1;Q1;3;March;12;4;Thursday;22;82;200001;200003;200012;f;31
20000323;2000-03-23;2000;1;Q1;3;March;12;5;Friday;23;83;200001;200003;200012;f;31
20000324;2000-03-24;2000;1;Q1;3;March;12;6;Saturday;24;84;200001;200003;200012;t;31
20000325;2000-03-25;2000;1;Q1;3;March;12;7;Sunday;25;85;200001;200003;200012;t;31
20000326;2000-03-26;2000;1;Q1;3;March;12;1;Monday;26;86;200001;200003;200012;f;31
20000327;2000-03-27;2000;1;Q1;3;March;13;2;Tuesday;27;87;200001;200003;200013;f;31
20000328;2000-03-28;2000;1;Q1;3;March;13;3;Wednesday;28;88;200001;200003;200013;f;31
20000329;2000-03-29;2000;1;Q1;3;March;13;4;Thursday;29;89;200001;200003;200013;f;31
20000330;2000-03-30;2000;1;Q1;3;March;13;5;Friday;30;90;200001;200003;200013;f;31
20000331;2000-03-31;2000;1;Q1;3;March;13;6;Saturday;31;91;200001;200003;200013;t;31
20000401;2000-04-01;2000;2;Q2;4;April;13;7;Sunday;1;92;200002;200004;200013;t;30
20000402;2000-04-02;2000;2;Q2;4;April;13;1;Monday;2;93;200002;200004;200013;f;30
20000403;2000-04-03;2000;2;Q2;4;April;14;2;Tuesday;3;94;200002;200004;200014;f;30
20000404;2000-04-04;2000;2;Q2;4;April;14;3;Wednesday;4;95;200002;200004;200014;f;30
20000405;2000-04-05;2000;2;Q2;4;April;14;4;Thursday;5;96;200002;200004;200014;f;30
20000406;2000-04-06;2000;2;Q2;4;April;14;5;Friday;6;97;200002;200004;200014;f;30
20000407;2000-04-07;2000;2;Q2;4;April;14;6;Saturday;7;98;200002;200004;200014;t;30
20000408;2000-04-08;2000;2;Q2;4;April;14;7;Sunday;8;99;200002;200004;200014;t;30
20000409;2000-04-09;2000;2;Q2;4;April;14;1;Monday;9;100;200002;200004;200014;f;30
20000410;2000-04-10;2000;2;Q2;4;April;15;2;Tuesday;10;101;200002;200004;200015;f;30
20000411;2000-04-11;2000;2;Q2;4;April;15;3;Wednesday;11;102;200002;200004;200015;f;30
20000412;2000-04-12;2000;2;Q2;4;April;15;4;Thursday;12;103;200002;200004;200015;f;30
20000413;2000-04-13;2000;2;Q2;4;April;15;5;Friday;13;104;200002;200004;200015;f;30
20000414;2000-04-14;2000;2;Q2;4;April;15;6;Saturday;14;105;200002;200004;200015;t;30
20000415;2000-04-15;2000;2;Q2;4;April;15;7;Sunday;15;106;200002;200004;200015;t;30
20000416;2000-04-16;2000;2;Q2;4;April;15;1;Monday;16;107;200002;200004;200015;f;30
20000417;2000-04-17;2000;2;Q2;4;April;16;2;Tuesday;17;108;200002;200004;200016;f;30
20000418;2000-04-18;2000;2;Q2;4;April;16;3;Wednesday;18;109;200002;200004;200016;f;30
20000419;2000-04-19;2000;2;Q2;4;April;16;4;Thursday;19;110;200002;200004;200016;f;30
20000420;2000-04-20;2000;2;Q2;4;April;16;5;Friday;20;111;200002;200004;200016;f;30
20000421;2000-04-21;2000;2;Q2;4;April;16;6;Saturday;21;112;200002;200004;200016;t;30
20000422;2000-04-22;2000;2;Q2;4;April;16;7;Sunday;22;113;200002;200004;200016;t;30
