hora_id;horas;minutos;segundos;hora_completa;jornada
0;0 ;0 ;0 ;00:00:00;Noche
1;0 ;0 ;1 ;00:00:01;Noche
2;0 ;0 ;2 ;00:00:02;Noche
3;0 ;0 ;3 ;00:00:03;Noche
4;0 ;0 ;4 ;00:00:04;Noche
5;0 ;0 ;5 ;00:00:05;Noche
6;0 ;0 ;6 ;00:00:06;Noche
7;0 ;0 ;7 ;00:00:07;Noche
8;0 ;0 ;8 ;00:00:08;Noche
9;0 ;0 ;9 ;00:00:09;Noche
10;0 ;0 ;10;00:00:10;Noche
11;0 ;0 ;11;00:00:11;Noche
12;0 ;0 ;12;00:00:12;Noche
13;0 ;0 ;13;00:00:13;Noche
14;0 ;0 ;14;00:00:14;Noche
15;0 ;0 ;15;00:00:15;Noche
16;0 ;0 ;16;00:00:16;Noche
17;0 ;0 ;17;00:00:17;Noche
18;0 ;0 ;18;00:00:18;Noche
19;0 ;0 ;19;00:00:19;Noche
20;0 ;0 ;20;00:00:20;Noche
21;0 ;0 ;21;00:00:21;Noche
22;0 ;0 ;22;00:00:22;Noche
23;0 ;0 ;23;00:00:23;Noche
24;0 ;0 ;24;00:00:24;Noche
25;0 ;0 ;25;00:00:25;Noche
26;0 ;0 ;26;00:00:26;Noche
27;0 ;0 ;27;00:00:27;Noche
28;0 ;0 ;28;00:00:28;Noche
29;0 ;0 ;29;00:00:29;Noche
30;0 ;0 ;30;00:00:30;Noche
31;0 ;0 ;31;00:00:31;Noche
32;0 ;0 ;32;00:00:32;Noche
33;0 ;0 ;33;00:00:33;Noche
34;0 ;0 ;34;00:00:34;Noche
35;0 ;0 ;35;00:00:35;Noche
36;0 ;0 ;36;00:00:36;Noche
37;0 ;0 ;37;00:00:37;Noche
38;0 ;0 ;38;00:00:38;Noche
39;0 ;0 ;39;00:00:39;Noche
40;0 ;0 ;40;00:00:40;Noche
41;0 ;0 ;41;00:00:41;Noche
42;0 ;0 ;42;00:00:42;Noche
43;0 ;0 ;43;00:00:43;Noche
44;0 ;0 ;44;00:00:44;Noche
45;0 ;0 ;45;00:00:45;Noche
46;0 ;0 ;46;00:00:46;Noche
47;0 ;0 ;47;00:00:47;Noche
48;0 ;0 ;48;00:00:48;Noche
49;0 ;0 ;49;00:00:49;Noche
50;0 ;0 ;50;00:00:50;Noche
51;0 ;0 ;51;00:00:51;Noche
